Name	Country	Sector	Type	Desc	Departments	City	Year	Size	Url	Id	Type
Albanian Institute of Science	Albania	Nonprofit	Governance	Albanian Institute of Science's mission is to promote scientific activity and applied research in Albania to solve socio-economic problems, increase transparency, and strengthen civic engagement.	Other, Albania, Local; Other, Albania, National; 	Tirana	2011		http://ais.al/new/	6PpFCC6kk7	research	1	Uses open data to create applications such as Open Data Albania and Tax Calculator.	0		0		0		0	
Redlink	Austria	For-profit	Data/information technology	Redlink leverages the power of Apache Stanbol, Apache Marmotta and Apache Solr to deliver enterprise-grade Content Enrichment and Linked Data solutions.		Athens			http://redlink.co	1213	research	0		0		1		0		0	
Semantic Web Company	Austria	For-profit	Data/information technology	SWC is working on linked open vocabularies and Open Data and Linked Open Data		Vienna	2005	11-50	http://www.semantic-web.at	KhExuTkdXI	submitted survey	0		1	Building Knowledge Graphs on top of open Vocabularies as e.g. EuroVoc, AgroVoc, Gemet et al...	0		0		0	
Renewable Energy and Energy Efficiency Partnership (REEEP)	Austria	Nonprofit	Energy	REEEP is a non-profit organization investing in clean energy markets in developing countries and running a comprehensive Open Knowledge Programme to support data, information and knowledge sharing in climate change 	Energy, United Kingdom, National; Environment, United Kingdom, National; Other, United Kingdom, National; Energy, United States, National; Environment, United States, National; Other, United States, National; 		2002	11-50	http://www.reeep.org	HmPmVfzgVN	submitted survey	0		1	Using data (eg thesauri) for tools such as the climate tagger that supports tagging of unstructured content	0		0		0	
Kosht Urada	Belarus	Developer group	Governance	“Kosht Urada” is the interactive website which shows in convenient and simple form where money in the Russian state budget comes from and how it is spent.	Other, Belarus, National; 		2008		http://www.koshturada.by/en/	bTcFtMb3QW	research	1		0		0		0		0	
Corporate Europe Observatory	Belgium	Nonprofit	Governance	Corporate Europe Observatory (CEO) is a research and campaign group working to expose and challenge the privileged access and influence enjoyed by corporations and their lobby groups in EU policy making.	Environment, null, national; Economics, null, national; 	Brussels	1997		http://corporateeurope.org	621	research	0		0		0		0		0	
Delhaize	Belgium	For-profit	Consumer services	Delhaize is a Belgium-based food retailer.	Demographics and social, null, national; 	Brussels	1867	1000+	http://delhaizegroup.com	648	research	0		0		1	Analyzes customer behaviour and use it for targeted in store marketing	0		0	
Friends of the Earth Europe	Belgium	Nonprofit	Governance	Friends of the Earth Europe campaigns for sustainable and just societies and for the protection of the environment, unites more than 30 national organisations with thousands of local groups and is part of the world's largest grassroots environmental network, Friends of the Earth International.	Environment, null, National; 	Brussels	1986	11-50	https://www.foeeurope.org	927	research	1	uses open data to inform news and grassroots campaigns that promote sustainability.	0		0		0		0	
SmartSantander	Belgium	Developer group	Research and consulting	SmartSantander proposes a unique in the world city-scale experimental research facility in support of typical applications and services for a smart city		Brussels			http://www.smartsantander.eu/	1248	research	0		0		0		0		0	
We Open Data	Belgium	For-profit	Data/information technology	We Open Data enables Open Data uptake by helping public government opening up data and supporting private companies in integrating it with their current databases.	Geospatial/mapping, Belgium, National; Environment, Belgium, National; Demographics and social, Belgium, National; 	Ghent	2015	1/10/2015	http://weopendata.com/	4u51HTfXVg	submitted survey	0		1		0		0		0	
